Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
74,Exit long,2026-08-27 00:00,Long X,4650.5,1,46486,17.76,0.04,1.24,18.38,0.04,-13.62,-0.03,1752.24,0.18,6
74,Entry long,2026-08-26 22:48,Long,4648.6,1,46486,17.76,0.04,1.24,18.38,0.04,-13.62,-0.03,1752.24,0.18,6
75,Exit short,2026-08-28 01:20,Short X,4654.9,1,46567,16.76,0.04,1.24,17.38,0.04,-9.62,-0.02,1769,0.18,5
75,Entry short,2026-08-28 01:10,Short,4656.7,1,46567,16.76,0.04,1.24,17.38,0.04,-9.62,-0.02,1769,0.18,5
76,Exit long,2026-08-28 03:26,Long X,4639.8,1,46534,-137.24,-0.29,1.24,21.38,0.05,-136.62,-0.29,1631.76,0.16,9
76,Entry long,2026-08-28 03:08,Long,4653.4,1,46534,-137.24,-0.29,1.24,21.38,0.05,-136.62,-0.29,1631.76,0.16,9
77,Exit short,2026-08-28 03:40,Short X,4632.6,1,46369,41.76,0.09,1.24,42.38,0.09,-53.62,-0.12,1673.52,0.17,7
77,Entry short,2026-08-28 03:26,Short,4636.9,1,46369,41.76,0.09,1.24,42.38,0.09,-53.62,-0.12,1673.52,0.17,7
78,Exit long,2026-09-02 01:58,Long X,4371.8,1,43802,-85.24,-0.19,1.24,17.38,0.04,-84.62,-0.19,1588.28,0.16,11
78,Entry long,2026-09-02 01:36,Long,4380.2,1,43802,-85.24,-0.19,1.24,17.38,0.04,-84.62,-0.19,1588.28,0.16,11
79,Exit short,2026-09-02 02:00,Short X,4367.4,1,43703,27.76,0.06,1.24,28.38,0.06,-34.62,-0.08,1616.04,0.16,1
79,Entry short,2026-09-02 01:58,Short,4370.3,1,43703,27.76,0.06,1.24,28.38,0.06,-34.62,-0.08,1616.04,0.16,1
80,Exit long,2026-09-02 21:34,Long X,4429.7,1,44266,29.76,0.07,1.24,30.38,0.07,-109.62,-0.25,1645.8,0.16,55
80,Entry long,2026-09-02 19:44,Long,4426.6,1,44266,29.76,0.07,1.24,30.38,0.07,-109.62,-0.25,1645.8,0.16,55
81,Exit long,Open,Open,—,1,45265,-6.24,-0.01,0.62,8.38,0.02,-12.62,-0.03,1638.94,0.16,3
81,Entry long,2026-09-04 01:54,Long,4526.5,1,45265,-6.24,-0.01,0.62,8.38,0.02,-12.62,-0.03,1638.94,0.16,3
