Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
25,Exit short,2026-06-11 09:18,SL,28819.75,2,115158,-122.24,-0.11,1.24,103.38,0.09,-121.62,-0.11,-223,-0.02,6
25,Entry short,2026-06-11 09:12,LS,28789.5,2,115158,-122.24,-0.11,1.24,103.38,0.09,-121.62,-0.11,-223,-0.02,6
26,Exit short,2026-06-11 16:01,SL,29016.5,2,115633,-434.24,-0.38,1.24,122.38,0.11,-433.62,-0.37,-657.24,-0.07,3
26,Entry short,2026-06-11 15:58,LS,28908.25,2,115633,-434.24,-0.38,1.24,122.38,0.11,-433.62,-0.37,-657.24,-0.07,3
27,Exit long,2026-06-11 18:01,TP,28911.75,2,114976,669.76,0.58,1.24,670.38,0.58,-48.62,-0.04,12.52,0.00,50
27,Entry long,2026-06-11 17:11,LS,28744,2,114976,669.76,0.58,1.24,670.38,0.58,-48.62,-0.04,12.52,0.00,50
28,Exit short,2026-06-11 20:03,TP,29117.25,2,116841,370.76,0.32,1.24,371.38,0.32,-178.62,-0.15,383.28,0.04,16
28,Entry short,2026-06-11 19:47,LS,29210.25,2,116841,370.76,0.32,1.24,371.38,0.32,-178.62,-0.15,383.28,0.04,16
29,Exit long,2026-06-12 07:47,SL,29454.25,2,117951,-135.24,-0.11,1.24,92.38,0.08,-134.62,-0.11,248.04,0.02,6
29,Entry long,2026-06-12 07:41,LS,29487.75,2,117951,-135.24,-0.11,1.24,92.38,0.08,-134.62,-0.11,248.04,0.02,6
30,Exit short,2026-06-12 12:21,TP,29572.25,2,118483,192.76,0.16,1.24,193.38,0.16,-161.62,-0.14,440.8,0.04,40
30,Entry short,2026-06-12 11:41,LS,29620.75,2,118483,192.76,0.16,1.24,193.38,0.16,-161.62,-0.14,440.8,0.04,40
31,Exit long,2026-06-12 17:00,TP,29649,2,117758,836.76,0.71,1.24,837.38,0.71,-348.62,-0.30,1277.56,0.13,59
31,Entry long,2026-06-12 16:01,LS,29439.5,2,117758,836.76,0.71,1.24,837.38,0.71,-348.62,-0.30,1277.56,0.13,59
32,Exit short,2026-06-12 17:32,TP,29690,2,118901,139.76,0.12,1.24,140.38,0.12,-92.62,-0.08,1417.32,0.14,3
32,Entry short,2026-06-12 17:29,LS,29725.25,2,118901,139.76,0.12,1.24,140.38,0.12,-92.62,-0.08,1417.32,0.14,3
33,Exit short,2026-06-15 07:37,TP,30510.25,2,122123,80.76,0.07,1.24,81.38,0.07,-46.62,-0.04,1498.08,0.15,11
33,Entry short,2026-06-15 07:26,LS,30530.75,2,122123,80.76,0.07,1.24,81.38,0.07,-46.62,-0.04,1498.08,0.15,11
34,Exit short,2026-06-15 10:56,TP,30588.75,2,122437,80.76,0.07,1.24,81.38,0.07,-41.62,-0.03,1578.84,0.16,7
34,Entry short,2026-06-15 10:49,LS,30609.25,2,122437,80.76,0.07,1.24,81.38,0.07,-41.62,-0.03,1578.84,0.16,7
35,Exit short,2026-06-15 15:35,SL,30698,2,122636,-157.24,-0.13,1.24,0,0.00,-156.62,-0.13,1421.6,0.14,0
35,Entry short,2026-06-15 15:35,LS,30659,2,122636,-157.24,-0.13,1.24,0,0.00,-156.62,-0.13,1421.6,0.14,0
36,Exit short,2026-06-15 17:47,SL,30857,2,123285,-144.24,-0.12,1.24,78.38,0.06,-143.62,-0.12,1277.36,0.13,13
36,Entry short,2026-06-15 17:34,LS,30821.25,2,123285,-144.24,-0.12,1.24,78.38,0.06,-143.62,-0.12,1277.36,0.13,13
37,Exit short,2026-06-16 10:37,TP,30873.5,2,123563,67.76,0.05,1.24,68.38,0.06,-26.62,-0.02,1345.12,0.13,4
37,Entry short,2026-06-16 10:33,LS,30890.75,2,123563,67.76,0.05,1.24,68.38,0.06,-26.62,-0.02,1345.12,0.13,4
38,Exit short,2026-06-16 11:20,TP,30882.5,2,123656,124.76,0.10,1.24,125.38,0.10,-42.62,-0.03,1469.88,0.15,4
38,Entry short,2026-06-16 11:16,LS,30914,2,123656,124.76,0.10,1.24,125.38,0.10,-42.62,-0.03,1469.88,0.15,4
39,Exit long,2026-06-16 16:19,SL,30749,2,123333,-338.24,-0.27,1.24,222.38,0.18,-337.62,-0.27,1131.64,0.11,43
39,Entry long,2026-06-16 15:36,LS,30833.25,2,123333,-338.24,-0.27,1.24,222.38,0.18,-337.62,-0.27,1131.64,0.11,43
40,Exit long,2026-06-16 16:58,SL,30589.25,2,122643,-287.24,-0.23,1.24,216.38,0.18,-286.62,-0.23,844.4,0.08,20
40,Entry long,2026-06-16 16:38,LS,30660.75,2,122643,-287.24,-0.23,1.24,216.38,0.18,-286.62,-0.23,844.4,0.08,20
41,Exit long,2026-06-16 17:39,SL,30498.5,2,122213,-220.24,-0.18,1.24,92.38,0.08,-219.62,-0.18,624.16,0.06,8
41,Entry long,2026-06-16 17:31,LS,30553.25,2,122213,-220.24,-0.18,1.24,92.38,0.08,-219.62,-0.18,624.16,0.06,8
42,Exit short,2026-06-17 07:21,SL,30500.75,2,121943,-61.24,-0.05,1.24,22.38,0.02,-60.62,-0.05,562.92,0.06,14
42,Entry short,2026-06-17 07:07,LS,30485.75,2,121943,-61.24,-0.05,1.24,22.38,0.02,-60.62,-0.05,562.92,0.06,14
43,Exit long,2026-06-17 16:47,SL,30318,2,121738,-467.24,-0.38,1.24,440.38,0.36,-466.62,-0.38,95.68,0.01,34
43,Entry long,2026-06-17 16:13,LS,30434.5,2,121738,-467.24,-0.38,1.24,440.38,0.36,-466.62,-0.38,95.68,0.01,34
44,Exit short,2026-06-18 10:20,TP,30460.5,2,121922,78.76,0.06,1.24,79.38,0.07,-23.62,-0.02,174.44,0.02,5
44,Entry short,2026-06-18 10:15,LS,30480.5,2,121922,78.76,0.06,1.24,79.38,0.07,-23.62,-0.02,174.44,0.02,5
45,Exit short,2026-06-18 15:35,TP,30473.25,2,122179,284.76,0.23,1.24,285.38,0.23,-70.62,-0.06,459.2,0.05,1
45,Entry short,2026-06-18 15:34,LS,30544.75,2,122179,284.76,0.23,1.24,285.38,0.23,-70.62,-0.06,459.2,0.05,1
46,Exit long,2026-06-19 07:38,SL,30401.75,2,121763,-157.24,-0.13,1.24,7.38,0.01,-156.62,-0.13,301.96,0.03,6
46,Entry long,2026-06-19 07:32,LS,30440.75,2,121763,-157.24,-0.13,1.24,7.38,0.01,-156.62,-0.13,301.96,0.03,6
47,Exit long,2026-06-19 07:54,TP,30470.75,2,121715,166.76,0.14,1.24,167.38,0.14,-4.62,0.00,468.72,0.05,7
47,Entry long,2026-06-19 07:47,LS,30428.75,2,121715,166.76,0.14,1.24,167.38,0.14,-4.62,0.00,468.72,0.05,7
48,Exit short,2026-06-19 16:57,SL,30697.75,2,122668,-124.24,-0.10,1.24,77.38,0.06,-123.62,-0.10,344.48,0.03,56
48,Entry short,2026-06-19 16:01,LS,30667,2,122668,-124.24,-0.10,1.24,77.38,0.06,-123.62,-0.10,344.48,0.03,56
49,Exit short,2026-06-22 07:32,TP,30633.75,2,122599,62.76,0.05,1.24,63.38,0.05,-48.62,-0.04,407.24,0.04,13
49,Entry short,2026-06-22 07:19,LS,30649.75,2,122599,62.76,0.05,1.24,63.38,0.05,-48.62,-0.04,407.24,0.04,13
50,Exit short,2026-06-22 08:55,SL,30740.25,2,122855,-107.24,-0.09,1.24,35.38,0.03,-106.62,-0.09,300,0.03,24
50,Entry short,2026-06-22 08:31,LS,30713.75,2,122855,-107.24,-0.09,1.24,35.38,0.03,-106.62,-0.09,300,0.03,24
51,Exit short,2026-06-22 14:30,SL,30830.25,2,123009,-313.24,-0.25,1.24,165.38,0.13,-312.62,-0.25,-13.24,0.00,79
51,Entry short,2026-06-22 13:11,LS,30752.25,2,123009,-313.24,-0.25,1.24,165.38,0.13,-312.62,-0.25,-13.24,0.00,79
52,Exit short,2026-06-22 15:38,SL,30903.75,2,123246,-370.24,-0.30,1.24,216.38,0.18,-369.62,-0.30,-383.48,-0.04,5
52,Entry short,2026-06-22 15:33,LS,30811.5,2,123246,-370.24,-0.30,1.24,216.38,0.18,-369.62,-0.30,-383.48,-0.04,5
53,Exit long,2026-06-22 16:51,SL,30611,2,122693,-250.24,-0.20,1.24,35.38,0.03,-249.62,-0.20,-633.72,-0.06,4
