Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
82,Exit long,2026-07-15 16:20,M1 SL,29774.75,1,59594,-45.74,-0.08,1.24,66.88,0.11,-45.12,-0.08,3385.82,0.34,5
82,Entry long,2026-07-15 16:15,M1 Long,29797,1,59594,-45.74,-0.08,1.24,66.88,0.11,-45.12,-0.08,3385.82,0.34,5
83,Exit short,2026-07-16 15:30,M3 SL,29510.75,1,58915,-107.74,-0.18,1.24,20.38,0.03,-107.12,-0.18,3278.08,0.33,5
83,Entry short,2026-07-16 15:25,M3 Short,29457.5,1,58915,-107.74,-0.18,1.24,20.38,0.03,-107.12,-0.18,3278.08,0.33,5
84,Exit long,2026-07-16 15:33,M4 SL,29469.25,1,59047.5,-110.24,-0.19,1.24,9.88,0.02,-109.62,-0.19,3167.84,0.32,2
84,Entry long,2026-07-16 15:31,M4 Long,29523.75,1,59047.5,-110.24,-0.19,1.24,9.88,0.02,-109.62,-0.19,3167.84,0.32,2
85,Exit long,2026-07-17 15:27,M3 SL,28620,1,57281.5,-42.74,-0.07,1.24,12.38,0.02,-42.12,-0.07,3125.1,0.31,2
85,Entry long,2026-07-17 15:25,M3 Long,28640.75,1,57281.5,-42.74,-0.07,1.24,12.38,0.02,-42.12,-0.07,3125.1,0.31,2
86,Exit short,2026-07-17 15:45,M4 Locked Profit,28458.5,1,57107,188.76,0.33,1.24,289.88,0.51,-36.62,-0.06,3313.86,0.33,11
86,Entry short,2026-07-17 15:34,M4 Short,28553.5,1,57107,188.76,0.33,1.24,289.88,0.51,-36.62,-0.06,3313.86,0.33,11
87,Exit short,2026-07-20 15:56,RCL TP,29024,1,58103,53.76,0.09,1.24,54.38,0.09,-42.62,-0.07,3367.62,0.34,3
87,Entry short,2026-07-20 15:53,Reclaim Short C1,29051.5,1,58103,53.76,0.09,1.24,54.38,0.09,-42.62,-0.07,3367.62,0.34,3
88,Exit short,2026-07-21 15:31,M3 TP,29153.25,1,58369.5,61.76,0.11,1.24,62.38,0.11,-29.62,-0.05,3429.38,0.34,1
88,Entry short,2026-07-21 15:30,M3 Short,29184.75,1,58369.5,61.76,0.11,1.24,62.38,0.11,-29.62,-0.05,3429.38,0.34,1
89,Exit short,2026-07-21 15:40,M1 TP,29153.25,1,58391,83.26,0.14,1.24,83.88,0.14,-59.62,-0.10,3512.64,0.35,4
89,Entry short,2026-07-21 15:36,M1 Short,29195.5,1,58391,83.26,0.14,1.24,83.88,0.14,-59.62,-0.10,3512.64,0.35,4
90,Exit short,2026-07-22 15:37,M3 SL,29163.25,1,58176.5,-151.24,-0.26,1.24,29.88,0.05,-150.62,-0.26,3361.4,0.34,11
90,Entry short,2026-07-22 15:26,M3 Short,29088.25,1,58176.5,-151.24,-0.26,1.24,29.88,0.05,-150.62,-0.26,3361.4,0.34,11
91,Exit long,2026-07-22 17:40,M4 Locked Profit,29276.5,1,58321.5,230.26,0.39,1.24,362.88,0.62,-95.62,-0.16,3591.66,0.36,123
91,Entry long,2026-07-22 15:37,M4 Long,29160.75,1,58321.5,230.26,0.39,1.24,362.88,0.62,-95.62,-0.16,3591.66,0.36,123
