Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
358,Entry long,2026-04-14 16:55,Long,25818,4,206544,236.76,0.11,1.24,237.38,0.11,-444.62,-0.22,19962.08,39.92,7
359,Exit long,2026-04-14 20:25,Long Bracket,25887.5,4,207648,-549.24,-0.26,1.24,105.38,0.05,-548.62,-0.26,19412.84,38.83,12
359,Entry long,2026-04-14 19:25,Long,25956,4,207648,-549.24,-0.26,1.24,105.38,0.05,-548.62,-0.26,19412.84,38.83,12
360,Exit long,2026-04-15 18:15,Long Bracket,26238,4,209674,228.76,0.11,1.24,229.38,0.11,-186.62,-0.09,19641.6,39.28,5
360,Entry long,2026-04-15 17:50,Long,26209.25,4,209674,228.76,0.11,1.24,229.38,0.11,-186.62,-0.09,19641.6,39.28,5
361,Exit long,2026-04-15 21:55,Long Bracket,26366.5,4,210694,236.76,0.11,1.24,237.38,0.11,-60.62,-0.03,19878.36,39.76,5
361,Entry long,2026-04-15 21:30,Long,26336.75,4,210694,236.76,0.11,1.24,237.38,0.11,-60.62,-0.03,19878.36,39.76,5
362,Exit long,2026-04-17 16:30,Long Bracket,26780.5,4,214004,238.76,0.11,1.24,239.38,0.11,-412.62,-0.19,20117.12,40.23,5
362,Entry long,2026-04-17 16:05,Long,26750.5,4,214004,238.76,0.11,1.24,239.38,0.11,-412.62,-0.19,20117.12,40.23,5
363,Exit short,2026-04-20 17:05,Short Bracket,26575.25,4,212838,234.76,0.11,1.24,235.38,0.11,-120.62,-0.06,20351.88,40.70,0
363,Entry short,2026-04-20 17:05,Short,26604.75,4,212838,234.76,0.11,1.24,235.38,0.11,-120.62,-0.06,20351.88,40.70,0
364,Exit short,2026-04-27 15:45,Short Bracket,27338.75,4,218950,238.76,0.11,1.24,239.38,0.11,-352.62,-0.16,20590.64,41.18,2
364,Entry short,2026-04-27 15:35,Short,27368.75,4,218950,238.76,0.11,1.24,239.38,0.11,-352.62,-0.16,20590.64,41.18,2
365,Exit short,2026-04-27 17:20,Short Bracket,27309,4,218708,234.76,0.11,1.24,235.38,0.11,-40.62,-0.02,20825.4,41.65,0
365,Entry short,2026-04-27 17:20,Short,27338.5,4,218708,234.76,0.11,1.24,235.38,0.11,-40.62,-0.02,20825.4,41.65,0
366,Exit short,2026-04-28 12:45,Short Bracket,27242.25,4,218176,236.76,0.11,1.24,237.38,0.11,-98.62,-0.05,21062.16,42.12,5
366,Entry short,2026-04-28 12:20,Short,27272,4,218176,236.76,0.11,1.24,237.38,0.11,-98.62,-0.05,21062.16,42.12,5
