Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
228,Exit short,2026-08-18 15:45,POST-TP TRAIL,29697.5,1,59483,87.07,0.15,0.93,149.69,0.25,-6.81,-0.01,3712.86,0.37,3
228,Entry short,2026-08-18 15:42,SHORT,29741.5,1,59483,87.07,0.15,0.93,149.69,0.25,-6.81,-0.01,3712.86,0.37,3
229,Exit long,2026-08-18 16:10,SL,29604.5,1,59312,-103.93,-0.18,0.93,100.69,0.17,-103.31,-0.17,3608.62,0.36,14
229,Entry long,2026-08-18 15:56,LONG,29656,1,59312,-103.93,-0.18,0.93,100.69,0.17,-103.31,-0.17,3608.62,0.36,14
230,Exit long,2026-08-18 16:10,SL,29604.5,1,59312,-103.93,-0.18,0.93,100.69,0.17,-103.31,-0.17,3505,0.35,14
230,Entry long,2026-08-18 15:56,LONG,29656,1,59312,-103.93,-0.18,0.93,100.69,0.17,-103.31,-0.17,3505,0.35,14
231,Exit long,2026-08-18 19:16,TRAIL EXIT,29610.5,1,59084.5,135.57,0.23,0.93,257.19,0.44,-21.31,-0.04,3640.26,0.36,123
231,Entry long,2026-08-18 17:13,LONG,29542.25,1,59084.5,135.57,0.23,0.93,257.19,0.44,-21.31,-0.04,3640.26,0.36,123
232,Exit long,2026-08-18 22:30,DAILY FLATTEN,29575.75,1,59084.5,66.07,0.11,0.93,257.19,0.44,-21.31,-0.04,3706.64,0.37,317
232,Entry long,2026-08-18 17:13,LONG,29542.25,1,59084.5,66.07,0.11,0.93,257.19,0.44,-21.31,-0.04,3706.64,0.37,317
233,Exit long,2026-08-19 16:14,SL,29379.5,1,58821,-62.93,-0.11,0.93,0.69,0.00,-62.31,-0.11,3643.4,0.36,1
233,Entry long,2026-08-19 16:13,LONG,29410.5,1,58821,-62.93,-0.11,0.93,0.69,0.00,-62.31,-0.11,3643.4,0.36,1
234,Exit long,2026-08-19 16:14,SL,29379.5,1,58821,-62.93,-0.11,0.93,0.69,0.00,-62.31,-0.11,3580.78,0.36,1
234,Entry long,2026-08-19 16:13,LONG,29410.5,1,58821,-62.93,-0.11,0.93,0.69,0.00,-62.31,-0.11,3580.78,0.36,1
235,Exit long,2026-08-19 17:37,TRAIL EXIT,29571.25,1,58843.5,298.07,0.51,0.93,419.69,0.71,-73.31,-0.12,3878.54,0.39,82
